PAK,Objekti,Broj spratova,Domacinstva,Pravna lica stan,Pravna lica lokal,Pravna lica,Korisnici,Liftovi,Sanducici,O,OS,R,RS,AR,ARS,PU,TR10,V,Votk,Ropt,Rino,TG,Posiljke
400334,2,14,49,5,11,16,65,2,49,536,290,39,40,18,36,4,1,0,1,3,2,0,970
400335,2,9,23,9,6,15,38,2,23,230,363,34,5,15,14,0,0,0,2,0,3,0,666
400336,1,1,0,3,0,3,3,0,0,51,29,0,0,1,2,0,0,0,0,0,0,0,83
400337,2,12,27,3,0,3,30,2,27,308,0,12,0,0,9,0,7,0,0,0,0,0,336
400338,4,1,2,0,0,0,2,0,2,68,0,1,0,0,5,0,1,0,0,0,0,0,75
400339,4,20,45,0,4,4,49,4,45,455,208,33,14,21,18,0,4,0,2,0,2,0,757
400340,1,7,20,2,2,4,24,1,20,198,0,7,0,0,2,0,0,0,0,0,0,0,207
400342,5,30,65,4,7,11,76,5,65,673,176,17,0,6,45,8,17,0,0,0,2,0,944
400344,2,12,31,1,0,1,32,2,31,303,0,5,0,0,9,1,2,0,0,0,0,0,320
400345,3,19,42,6,6,12,54,3,42,513,0,27,0,4,42,0,8,0,1,1,1,0,597
400346,4,20,58,7,4,11,69,4,46,730,9,61,1,9,33,7,11,0,4,0,1,0,866
400348,3,8,19,7,3,10,29,0,18,312,0,60,4,37,28,11,0,1,0,1,1,0,455
400349,6,19,50,0,0,0,50,0,17,425,0,17,0,4,52,12,3,0,0,0,0,0,513
400350,3,6,39,0,1,1,40,0,0,351,0,8,0,5,11,1,5,0,0,1,0,0,382
400351,4,11,45,2,1,3,48,0,0,397,0,20,0,2,17,5,5,0,0,0,0,0,446
400352,4,12,42,3,0,3,45,1,0,384,0,23,0,2,27,3,2,0,1,1,1,0,444
400353,4,12,34,3,0,3,37,0,33,307,0,13,0,3,15,2,4,0,0,0,2,0,346
400354,8,25,49,3,0,3,52,0,49,438,0,16,0,5,15,2,4,1,0,0,0,0,481
400355,3,15,48,5,0,5,53,0,48,475,0,18,4,4,38,0,3,0,0,0,0,0,542
400356,3,11,34,1,0,1,35,0,34,305,0,10,0,6,20,0,3,0,0,1,1,0,346
400357,2,7,6,3,0,3,9,0,23,241,0,28,0,5,11,0,0,0,0,0,0,0,285
400358,5,22,62,3,0,3,65,1,61,517,0,23,0,3,22,0,1,1,0,0,0,0,567
400359,5,9,30,2,0,2,32,0,30,256,0,22,0,5,39,0,0,0,2,1,1,0,326
400360,3,8,42,0,0,0,42,0,42,338,0,26,0,3,111,0,0,0,1,0,0,0,479
400361,3,9,20,0,1,1,21,0,20,144,0,2,0,1,17,0,0,0,0,0,0,0,164
400362,2,8,28,0,0,0,28,0,28,273,0,8,0,0,15,0,0,0,1,0,0,0,297
400363,2,5,18,2,0,2,20,0,18,156,0,19,1,7,47,6,0,1,2,0,0,0,239
400364,6,26,71,4,0,4,75,0,70,597,4,25,0,9,29,4,6,0,1,2,1,0,678
400365,4,5,16,2,0,2,18,0,16,175,0,5,0,1,11,1,2,0,0,0,1,0,196
400366,2,4,11,3,0,3,14,0,11,186,0,15,0,1,13,2,0,1,0,0,0,0,218
400367,5,15,40,3,2,5,45,0,40,342,0,11,0,3,4,2,0,0,0,0,1,0,363
400368,2,8,39,5,0,5,44,1,39,372,0,23,0,3,18,0,2,1,1,0,2,0,422
400369,2,4,8,2,0,2,10,0,8,96,2,10,0,2,22,0,0,1,0,1,0,0,134
400370,3,8,34,0,0,0,34,0,26,194,0,18,0,1,7,0,3,0,0,0,0,0,223
400371,3,5,11,0,0,0,11,0,11,125,0,3,0,2,6,10,0,0,0,0,0,0,146
400372,1,3,13,0,0,0,13,0,13,83,0,4,0,0,6,0,0,0,0,0,0,0,93
400373,3,10,29,3,1,4,33,0,29,310,0,37,0,3,25,0,0,0,0,0,1,0,376
400374,6,23,68,9,2,11,79,0,67,871,0,36,0,8,84,0,5,0,1,0,2,0,1007
400375,5,16,43,6,3,9,52,0,43,499,0,93,0,5,17,0,5,1,3,0,0,0,623
400143,1,4,0,0,7,7,7,1,0,57,0,3,0,0,5,0,0,0,0,0,0,0,65
400144,7,35,0,0,54,54,54,6,0,582,287,140,29,21,86,6,0,2,4,13,1,0,1171
400145,5,10,31,21,1,22,53,0,31,545,28,35,0,12,131,0,4,1,0,2,5,0,763
400146,3,4,1,0,11,11,12,0,1,176,10,31,0,5,36,0,0,0,3,18,0,0,279
400147,5,17,40,5,0,5,45,0,33,357,3,9,1,0,21,34,9,0,0,0,0,0,434
400148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400149,5,8,36,9,5,14,50,0,27,344,10,31,11,9,78,9,0,0,0,0,0,0,492
400376,4,18,49,5,3,8,57,0,49,453,4,24,0,3,36,3,7,0,1,0,0,0,531
400377,3,13,31,7,0,7,38,0,31,293,0,7,0,1,18,0,14,0,1,1,1,0,336
400379,9,29,82,26,5,31,113,0,62,955,14,61,3,27,160,0,3,1,7,4,2,0,1237
400380,4,10,23,3,0,3,26,1,23,194,0,5,0,0,7,0,2,0,0,0,0,0,208
400381,4,19,61,5,0,5,66,1,58,453,7,15,0,0,15,2,1,0,0,0,0,0,493
400382,1,2,1,0,1,1,2,1,1,24,71,6,7,0,5,0,0,0,0,0,0,0,113
400103,2,5,0,0,10,10,10,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,48
400401,1,6,0,0,46,46,46,1,0,130,22,26,7,5,17,0,0,0,0,0,0,0,207
400402,1,6,0,0,6,6,6,0,0,43,0,5,0,0,11,1,0,0,0,0,0,0,60
400404,3,9,34,9,4,13,47,0,34,446,39,45,7,9,23,2,1,2,1,0,3,0,578
400405,2,9,18,8,5,13,31,0,17,246,17,17,7,1,10,0,0,0,0,0,0,0,298
400406,1,1,0,0,3,3,3,0,0,49,27,7,0,6,14,0,0,0,0,0,0,0,103
400407,1,1,0,0,2,2,2,0,0,10,3,2,0,0,3,0,0,0,0,0,0,0,18
400408,2,7,25,4,7,11,36,0,23,319,80,27,6,7,24,0,0,0,0,0,4,0,467
400409,3,11,32,10,0,10,42,0,30,254,0,16,0,5,23,1,2,0,2,0,0,0,303
400411,2,16,29,4,0,4,33,2,35,341,0,18,0,9,9,1,2,0,1,0,0,0,381
400412,5,16,60,9,25,34,94,2,56,709,20,42,9,9,52,1,0,2,0,0,0,0,844
400413,7,22,84,23,44,67,151,1,62,829,47,91,12,16,75,2,0,1,0,0,3,0,1076
400414,5,7,52,16,88,104,156,0,38,779,17,48,6,13,85,1,9,6,0,0,1,0,965
400415,5,4,10,3,14,17,27,0,6,130,0,12,0,4,18,0,0,0,0,0,0,0,164
400416,1,3,0,0,4,4,4,0,0,35,0,12,3,4,12,0,0,0,0,0,1,0,67
400417,1,3,0,0,10,10,10,0,0,91,4,7,0,0,7,0,0,0,0,0,0,0,109
400418,2,8,10,2,3,5,15,0,9,171,45,7,2,2,17,0,0,0,0,0,0,0,244
400422,10,20,42,4,6,10,52,0,41,449,13,24,4,1,21,0,4,0,0,0,0,0,516
400423,6,25,63,20,19,39,102,1,58,974,108,78,10,21,36,4,3,6,1,0,2,0,1243
400424,1,0,0,0,4,4,4,0,0,19,0,0,0,0,4,0,0,0,0,0,0,0,23
400426,1,5,0,0,15,15,15,1,0,38,172,26,68,40,68,4,0,0,0,0,0,0,416
400427,4,22,42,9,0,9,51,2,40,420,9,29,6,12,41,0,1,1,1,0,0,0,520
400428,2,0,0,0,3,3,3,0,0,13,0,3,0,4,6,0,0,0,0,0,0,0,26
400429,1,1,0,0,3,3,3,0,0,13,0,2,0,1,3,0,0,0,0,0,0,0,19
400430,2,12,35,4,0,4,39,1,28,214,0,6,2,2,15,0,2,1,0,0,0,0,242
400431,7,32,74,11,1,12,86,1,69,755,243,59,43,11,59,0,4,0,2,2,1,0,1179
400432,7,20,52,7,3,10,62,1,46,461,64,18,2,7,40,0,3,0,2,2,1,0,600
400502,7,8,41,6,85,91,132,0,25,620,26,35,4,6,57,0,5,0,1,1,1,0,756
400503,5,5,50,10,79,89,139,0,31,517,18,22,4,3,52,1,4,1,0,0,3,0,625
400504,5,3,15,3,11,14,29,0,10,158,2,8,0,4,10,0,0,1,0,0,0,0,183
400505,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
400506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400507,6,2,18,0,46,46,64,0,18,349,100,54,13,4,25,0,2,0,2,2,0,0,551
400508,6,10,45,0,149,149,194,1,98,648,3,21,1,7,100,0,4,1,2,1,0,0,788
400510,4,10,44,1,4,5,49,1,44,471,0,21,0,2,9,3,2,0,0,0,2,0,510
400511,3,6,18,1,2,3,21,0,18,225,0,9,0,2,23,0,0,0,1,0,0,0,260
400512,4,15,62,1,0,1,63,2,62,496,0,10,0,6,10,0,8,1,0,0,0,0,531
400514,8,27,121,1,18,19,140,0,118,817,0,36,0,12,22,7,12,0,0,0,1,0,907
400515,3,12,62,0,0,0,62,2,62,382,0,24,0,3,6,1,8,0,0,0,3,0,427
400516,5,19,64,0,0,0,64,0,64,446,0,14,0,7,13,0,6,0,0,0,0,0,486
400517,4,5,36,4,2,6,42,1,36,398,3,15,0,6,10,0,4,4,1,0,0,0,441
400519,3,16,60,1,2,3,63,1,59,523,13,37,0,13,35,0,0,0,0,1,0,0,622
400520,3,8,28,0,0,0,28,0,28,151,0,4,0,7,6,0,0,1,0,0,1,0,170
400521,3,12,44,2,0,2,46,3,44,276,0,5,0,1,17,0,3,1,0,0,0,0,303
400523,4,20,54,3,5,8,62,2,54,444,3,34,0,10,19,1,0,1,0,0,0,0,512
400524,5,25,79,0,0,0,79,0,79,520,0,15,0,7,17,4,3,3,0,0,2,0,571
400525,4,13,69,8,4,12,81,2,66,533,0,33,0,8,20,3,12,0,0,0,0,0,609
400526,3,18,59,5,1,6,65,3,53,360,1,12,0,3,10,0,13,1,0,0,0,0,400
400527,5,17,51,1,5,6,57,0,51,280,3,21,0,10,13,1,0,1,1,0,6,0,336
400528,9,29,84,2,3,5,89,2,84,626,0,20,0,7,18,3,5,0,0,0,3,0,682
400529,5,27,73,4,3,7,80,3,73,572,2,29,0,4,11,0,15,0,0,0,2,0,635
400530,4,5,51,0,1,1,52,1,101,198,0,4,0,4,5,0,0,0,0,0,1,0,212
400531,5,0,7,0,1,1,8,0,7,81,0,3,0,0,11,0,1,0,0,0,0,0,96
400532,2,6,52,4,1,5,57,2,52,293,0,14,0,8,18,2,0,2,0,0,0,0,337
400533,1,0,0,0,0,0,0,0,0,189,4,12,0,5,4,0,2,0,1,0,0,0,217
400535,3,6,38,0,0,0,38,1,38,70,0,1,0,3,0,0,0,0,0,0,1,0,75
400433,2,8,20,0,2,2,22,2,20,202,6,6,0,2,7,0,2,0,0,0,0,0,225
400434,3,9,28,3,0,3,31,0,25,248,8,31,0,2,10,1,0,0,1,0,1,0,302
400536,1,0,4,0,0,0,4,0,0,46,10,3,0,1,3,0,0,0,0,0,0,0,63
400537,2,5,27,3,3,6,33,1,26,264,58,26,0,2,10,0,2,0,0,0,0,0,362
400538,3,16,49,1,0,1,50,0,28,273,9,12,0,2,8,0,4,4,1,0,1,0,314
400539,4,24,72,3,0,3,75,1,70,580,7,28,0,4,23,0,4,0,0,0,0,0,646
400540,2,5,43,3,0,3,46,2,42,287,57,27,6,2,11,0,0,0,1,0,1,0,392
400541,3,16,63,2,2,4,67,3,61,496,25,15,0,0,20,1,10,2,1,0,0,0,570
400541,3,18,68,2,2,4,72,3,66,429,0,11,0,3,10,0,4,0,1,0,0,0,458
400542,1,18,77,2,0,2,79,1,74,566,0,18,0,8,27,0,11,1,0,0,0,0,631
400543,1,18,76,3,1,4,80,1,74,634,0,60,0,5,30,0,33,1,0,0,2,0,765
400544,1,18,76,4,0,4,80,1,72,565,0,9,0,4,36,21,7,4,1,0,1,0,648
400545,1,18,76,3,1,4,80,1,71,572,0,15,0,11,15,0,5,5,1,0,0,0,624
400547,3,18,72,9,1,10,82,3,67,550,0,8,0,9,25,1,7,2,2,0,0,0,604
400548,4,2,28,3,2,5,33,1,20,226,125,36,12,1,16,0,1,0,0,0,0,0,417
400549,6,36,144,9,0,9,153,6,142,1050,20,27,0,9,34,0,17,0,1,0,3,0,1161
400550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400552,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400553,3,15,36,4,2,6,42,3,35,320,8,12,0,2,6,1,0,0,6,0,0,0,355
400554,1,4,34,0,0,0,34,0,0,193,0,11,0,0,4,0,1,0,0,0,0,0,209
400555,5,12,52,2,0,2,54,0,48,296,0,17,0,3,11,10,2,0,0,0,0,0,339
400440,5,5,15,3,9,12,27,0,1,142,209,30,66,14,5,0,0,5,0,0,0,0,471
400441,13,7,27,3,23,26,53,0,19,248,175,9,3,7,9,0,5,0,1,0,0,2,459
400442,7,8,38,0,2,2,40,0,14,188,16,2,0,1,7,0,0,0,0,0,0,0,214
400556,6,13,99,2,6,8,107,2,75,373,90,25,21,3,24,1,2,0,0,0,0,0,539
400557,3,5,39,0,0,0,39,1,35,240,0,6,0,1,7,0,2,0,0,0,1,0,257
400558,3,0,37,2,1,3,40,0,21,226,45,13,10,2,9,2,0,1,1,2,0,0,311
400559,3,5,19,1,1,2,21,0,12,127,30,17,11,1,3,0,1,0,0,0,1,0,191
400560,4,14,114,2,13,15,129,1,93,667,46,12,0,6,10,0,2,0,1,0,0,0,744
400561,2,5,20,0,2,2,22,1,17,112,0,2,0,0,0,0,0,0,0,0,0,0,114
400562,6,4,18,0,2,2,20,0,23,229,16,11,0,0,8,0,0,0,0,0,1,0,265
400601,1,2,0,0,1,1,1,0,0,15,2,1,0,0,0,0,1,0,0,0,0,0,19
400602,1,2,0,0,1,1,1,0,0,42,7,12,4,1,8,17,0,3,2,1,1,0,98
400603,15,20,52,1,30,31,83,0,31,594,220,57,22,21,52,7,2,1,0,1,2,1,980
400604,7,2,23,1,9,10,33,0,17,213,80,18,8,3,15,0,0,0,0,0,0,0,337
400606,2,0,3,1,0,1,4,0,3,45,2,2,0,0,2,2,0,0,0,0,0,0,53
400607,5,0,10,0,2,2,12,0,10,68,3,9,0,0,5,13,0,0,0,0,0,0,98
400610,5,0,14,0,0,0,14,0,6,84,11,1,0,0,17,0,0,0,0,0,0,0,113
400611,2,0,4,0,1,1,5,0,4,37,27,4,0,0,1,0,0,0,0,0,0,0,69
400612,7,0,27,0,6,6,33,0,24,190,32,8,0,1,21,1,5,0,0,0,0,0,258
400613,9,2,35,1,1,2,37,0,27,215,13,9,0,5,12,0,0,1,0,1,0,0,256
400614,13,2,68,0,0,0,68,0,55,318,7,14,0,2,12,1,14,0,2,0,0,0,370
400615,7,0,10,1,2,3,13,0,7,57,44,2,0,0,2,10,0,0,0,0,0,0,115
400616,6,0,29,1,0,1,30,0,23,231,30,2,0,2,7,4,0,0,0,0,0,0,276
400617,6,0,15,0,1,1,16,0,5,82,13,6,0,0,5,0,0,0,0,0,0,0,106
400618,2,0,12,0,0,0,12,0,7,28,0,1,0,0,0,0,0,0,0,0,0,0,29
400619,13,0,22,2,1,3,25,0,19,183,28,15,0,1,12,0,2,0,0,0,0,0,241
400620,6,17,94,5,9,14,108,2,75,631,53,22,2,5,29,10,4,0,0,0,2,0,758
400621,5,9,43,4,2,6,49,0,38,284,53,9,0,4,12,2,2,1,0,0,1,0,368
400622,2,2,4,0,0,0,4,0,2,40,24,1,0,0,7,0,0,1,0,1,0,0,74
400623,4,5,46,0,4,4,50,1,41,246,17,4,1,4,14,0,4,0,0,0,0,0,290
400624,2,4,31,0,2,2,33,0,24,180,2,4,0,1,3,0,0,1,0,0,0,0,191
400625,4,16,54,3,12,15,69,0,53,478,209,50,35,8,39,1,1,2,0,0,1,0,824
400626,4,16,68,2,14,16,84,0,60,534,152,34,9,13,23,5,1,1,0,0,0,0,772
400627,4,12,51,3,5,8,59,0,39,351,108,32,18,11,15,3,0,0,0,0,2,0,540
400632,7,10,55,6,3,9,64,0,22,403,28,15,2,5,19,0,2,2,0,0,1,0,477
400633,4,0,12,0,1,1,13,0,10,81,2,7,2,2,0,0,0,0,0,0,0,0,94
400634,5,0,34,2,2,4,38,0,30,252,36,18,6,1,8,0,4,0,0,0,0,0,325
400635,3,1,18,0,0,0,18,0,14,102,0,2,0,0,6,0,0,0,0,0,0,0,110
400636,3,3,7,0,0,0,7,0,3,73,20,2,2,2,4,0,1,0,0,0,0,0,104
400637,4,0,14,0,1,1,15,0,8,78,2,3,0,1,0,0,0,0,0,0,1,0,85
400638,5,0,15,0,0,0,15,0,10,113,14,6,2,0,2,0,3,0,0,0,1,2,143
400639,4,1,20,0,0,0,20,0,2,107,4,0,0,0,4,0,0,0,0,0,0,0,115
400640,7,0,15,0,0,0,15,0,5,95,13,2,0,1,11,0,0,0,0,0,0,0,122
400641,6,1,12,1,12,13,25,0,3,154,59,7,0,1,9,4,0,0,0,0,0,0,234
400642,11,3,19,0,1,1,20,0,10,125,21,7,0,3,5,0,3,0,0,0,0,0,164
400643,14,0,34,0,0,0,34,0,19,293,10,11,0,8,21,1,3,0,0,0,2,0,349
400644,5,0,7,0,0,0,7,0,7,41,0,1,0,0,2,0,0,0,0,0,0,0,44
400645,4,4,5,0,1,1,6,0,4,37,12,0,0,0,5,0,0,0,0,0,0,0,54
400646,4,14,75,1,4,5,80,0,69,540,39,29,2,9,40,10,2,0,1,0,0,0,672
400435,7,2,54,3,118,121,175,0,42,842,82,36,0,22,36,24,3,1,0,2,6,0,1054
400436,6,0,10,1,21,22,32,0,5,210,42,15,0,6,19,0,1,1,0,0,0,0,294
400437,3,0,0,0,5,5,5,0,0,35,6,1,0,0,1,0,0,0,0,0,0,0,43
400438,7,4,73,2,202,204,277,0,47,1172,156,83,9,45,83,18,4,6,0,1,3,0,1580
400439,4,2,28,7,47,54,82,0,19,594,61,55,0,35,66,0,2,10,0,0,3,0,826
400443,9,14,45,3,16,19,64,0,29,351,20,25,0,2,8,0,0,2,0,0,0,0,408
400444,4,0,22,0,14,14,36,0,19,237,34,8,0,8,7,0,2,0,0,0,0,0,296
400445,5,0,26,4,5,9,35,0,24,209,14,16,0,6,17,1,2,1,0,0,0,0,266
400446,5,3,35,5,9,14,49,0,40,303,29,8,0,4,11,3,3,2,2,0,0,0,365
400447,11,3,50,14,9,23,73,0,50,436,10,22,2,9,18,15,1,2,0,0,2,0,517
400448,10,0,20,7,6,13,33,0,14,176,2,9,0,3,13,19,1,0,0,0,0,0,223
400449,4,10,43,2,6,8,51,0,36,270,20,12,0,1,12,2,0,1,0,0,1,0,319
400450,2,0,8,0,1,1,9,0,0,35,10,5,0,0,2,0,0,0,0,0,0,0,52
400451,7,0,18,0,3,3,21,0,4,115,0,11,0,0,1,0,0,0,0,0,0,0,127
400452,3,0,12,0,0,0,12,0,3,68,0,3,0,0,0,0,0,0,0,0,0,0,71
400453,3,7,31,1,1,2,33,0,15,125,0,6,0,0,4,0,2,0,0,0,0,0,137
400454,6,5,63,4,8,12,75,0,49,325,142,32,3,3,19,0,0,0,0,0,0,0,524
400455,1,0,4,0,2,2,6,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,7
400456,3,0,6,3,0,3,9,0,0,86,40,8,0,2,10,0,0,0,0,0,0,0,146
400457,6,0,32,0,10,10,42,0,17,235,2,9,4,4,7,13,2,1,0,0,0,0,277
400458,4,5,61,10,1,11,72,0,55,395,8,4,0,3,18,0,0,3,2,0,0,0,433
400459,8,10,122,27,26,53,175,0,114,894,119,64,2,16,56,0,4,3,0,0,4,0,1162
400460,6,6,29,13,4,17,46,0,26,282,112,30,2,1,14,0,0,45,275,36,0,1,797
400957,3,0,62,0,10,10,72,0,24,357,18,15,0,5,17,1,2,0,0,0,0,0,415
400958,6,15,129,3,14,17,146,0,126,427,6,7,0,0,20,0,3,3,0,0,4,0,470
401001,3,0,3,0,2,2,5,0,2,14,2,0,0,0,0,0,0,0,0,0,0,0,16
400461,7,9,38,21,13,34,72,0,34,903,22,44,46,84,4,0,2,19,14,6,0,0,1547
400647,14,33,118,17,21,38,156,2,88,259,60,41,13,31,2,7,8,1,1,1,0,0,424
400649,8,21,75,5,2,7,82,0,72,26,15,2,1,53,0,8,1,2,0,1,1,0,110
400650,12,24,81,9,13,22,103,0,71,64,33,2,7,34,0,6,3,3,0,4,0,0,156
400652,4,4,8,2,0,2,10,0,5,8,1,0,0,3,0,0,0,0,0,0,0,0,12
400653,8,14,61,0,0,0,61,0,52,4,4,0,0,4,4,1,0,0,0,0,0,0,17
400654,6,9,23,2,4,6,29,0,22,14,4,0,1,6,1,0,0,0,0,2,0,0,28
400655,4,4,18,0,0,0,18,0,14,2,5,0,1,7,1,4,0,0,0,0,0,0,20
400656,15,15,38,1,2,3,41,0,24,11,6,0,0,15,1,4,1,0,0,0,0,0,38
400657,6,6,16,1,0,1,17,0,10,22,2,0,0,5,1,2,0,0,0,0,0,0,32
400658,7,11,34,6,0,6,40,0,30,96,18,20,5,8,3,4,0,0,0,0,0,0,154
400659,9,11,43,2,3,5,48,0,34,19,3,0,1,6,4,4,0,0,0,0,0,0,37
400660,7,11,6,0,2,2,8,0,5,27,3,0,1,3,0,4,0,0,0,0,0,0,38
400661,12,16,74,4,2,6,80,0,57,40,6,0,1,11,1,4,2,0,0,0,0,0,65
400662,7,9,34,1,0,1,35,0,26,11,3,2,0,8,0,2,0,0,0,1,0,0,27
400663,5,12,58,4,8,12,70,0,55,77,19,2,2,26,7,0,0,0,0,2,0,0,135
400664,8,10,32,1,1,2,34,0,19,9,11,0,4,25,0,3,0,0,0,0,0,0,52
400665,2,2,4,0,0,0,4,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,5
400666,4,17,55,4,4,8,63,0,45,86,14,5,7,16,1,0,0,2,0,0,0,0,131
400667,5,5,14,0,1,1,15,0,7,55,10,2,2,12,46,2,0,0,0,0,0,0,129
400668,4,6,16,0,1,1,17,0,11,5,2,0,1,4,0,2,0,0,0,0,0,0,14
400669,7,7,28,2,3,5,33,0,23,7,4,0,3,13,4,4,0,0,0,0,0,0,35
400670,8,14,70,6,1,7,77,0,53,21,15,1,0,14,0,8,0,0,0,0,0,0,59
400671,4,4,13,0,0,0,13,0,9,4,1,0,0,5,0,5,0,0,0,0,0,0,15
400682,3,7,77,3,7,10,87,1,77,7,7,0,0,6,2,0,0,0,0,0,0,0,22
400683,5,5,26,3,14,17,43,0,14,49,17,2,1,7,0,0,0,0,0,1,0,0,77
400684,8,14,49,8,18,26,75,0,42,144,33,8,15,34,0,10,0,0,0,0,0,0,244
400801,15,3,117,7,14,21,138,0,57,548,329,71,62,14,43,15,22,1,0,4,1,0,1110
400802,4,5,58,0,7,7,65,1,27,259,91,26,4,3,9,7,1,7,2,0,0,0,409
400803,2,0,3,0,3,3,6,0,1,32,51,5,0,3,2,0,4,0,0,0,0,0,97
400804,4,0,6,0,10,10,16,0,3,60,235,14,34,3,3,0,1,0,0,0,0,0,350
400805,4,14,114,1,8,9,123,2,79,468,92,12,4,1,27,0,1,1,0,0,0,0,606
400806,10,0,17,1,2,3,20,0,11,76,68,6,0,0,3,0,2,0,0,0,2,0,157
400807,5,0,10,0,0,0,10,0,4,46,16,1,0,1,7,0,1,0,0,0,0,0,72
